id,title,verdict,reason,has_photo,step_count,ingredient_count
myplate-asparagus-mandarin-orange-chicken-and-rice,"Asparagus, Mandarin Orange, Chicken, and Rice",keep,,1,6,8
myplate-asparagus-with-gremolata-sauce,Asparagus with Gremolata Sauce,keep,,1,9,5
myplate-au-gratin-potatoes,Au Gratin Potatoes,keep,,1,9,8
myplate-autumn-vegetable-succotash,Autumn Vegetable Succotash,keep,,1,5,9
myplate-avocado-and-corn-salsa,Avocado and Corn Salsa,fix,only 2 cooking verb(s),1,3,6
myplate-avocado-black-bean-taquitos,Avocado Black Bean Taquitos,keep,,1,6,13
myplate-avocado-breakfast-bruschetta,Avocado Breakfast Bruschetta,keep,,1,5,8
myplate-avocado-melon-breakfast-smoothie,Avocado Melon Breakfast Smoothie,keep,,1,4,7
myplate-avocado-pita-pockets,Avocado Pita Pockets,keep,,1,2,5
myplate-avocado-veggie-bake,Avocado Veggie Bake,keep,,1,7,15
myplate-baked-apples-and-sweet-potatoes,Baked Apples and Sweet Potatoes,keep,,1,14,8
myplate-baked-cauliflower-tots,Baked Cauliflower Tots,keep,,1,6,5
myplate-baked-chicken,Baked Chicken,keep,,1,5,4
myplate-baked-chicken-nuggets,Baked Chicken Nuggets,fix,no heat step (assumed mix-and-serve),1,5,6
myplate-baked-chicken-with-vegetables,Baked Chicken with Vegetables,fix,no image,0,7,7
myplate-baked-fish,Baked Fish,keep,,1,7,7
myplate-banana-waldorf,Banana Waldorf,fix,no heat step (assumed mix-and-serve),1,3,5
myplate-barley-jambalaya,Barley Jambalaya,keep,,1,3,14
myplate-barley-pilaf,Barley Pilaf,keep,,1,5,8
myplate-basic-custard,Basic Custard,keep,,1,5,4
myplate-basic-quiche,Basic Quiche,keep,,1,10,8
myplate-basic-soup-and-sauce-mix,Basic Soup and Sauce Mix,fix,only 2 cooking verb(s); 1 ingredient quantity looks like dropped fraction,1,3,5
myplate-basic-steamed-collards,Basic Steamed Collards,keep,,1,5,2
myplate-batido-smoothie,Batido (Smoothie),keep,,1,3,4
myplate-bean-and-rice-burritos,Bean and Rice Burritos,keep,,1,13,6
myplate-bean-and-vegetable-salad,Bean and Vegetable Salad,keep,,1,7,10
myplate-beef-and-bean-chile-verde,Beef and Bean Chile Verde,keep,,1,6,9
myplate-beef-and-cabbage,Beef and Cabbage,keep,,1,7,8
myplate-beef-and-vegetable-soup,Beef and Vegetable Soup,keep,,1,5,9
myplate-beef-and-vegetables,Beef and Vegetables,keep,,1,5,8
myplate-beef-pot-roast,Beef Pot Roast,keep,,1,9,8
myplate-beef-potatoes,Beef & Potatoes,keep,,1,9,5
myplate-beef-stroganoff,Beef Stroganoff,fix,no image,0,7,11
myplate-beet-white-bean-salad,Beet & White Bean Salad,keep,,1,4,10
myplate-bell-pepper-and-potato-salad,Bell Pepper and Potato Salad,keep,,1,8,9
myplate-bell-pepper-and-vidalia-onion-strata-with-fresh-salsa,Bell Pepper and Vidalia Onion Strata with Fresh Salsa,keep,,1,8,13
myplate-bell-pepper-nachos,Bell Pepper Nachos,keep,,1,5,6
myplate-berries-with-banana-cream,Berries with Banana Cream,fix,no heat step (assumed mix-and-serve),1,5,6
myplate-berry-good-dessert,Berry Good Dessert,fix,no image,0,4,3
myplate-better-baking-mix,Better Baking Mix,fix,no heat step (assumed mix-and-serve),1,5,5
myplate-black-bean-and-couscous-salad,Black Bean and Couscous Salad,keep,,1,13,10
myplate-black-bean-and-rice-salad,Black Bean and Rice Salad,keep,,1,4,10
myplate-caramel-sauce,Caramel Sauce,keep,,1,4,6
myplate-carrot-cookies,Carrot Cookies,keep,,1,5,11
myplate-carrots-with-tomatoes-and-macaroni,Carrots with Tomatoes and Macaroni,keep,,1,6,11
myplate-cauliflower-shells-with-cheese,Cauliflower Shells with Cheese,fix,no image,0,7,8
