id,title,verdict,reason
canada-crowd-pleasing-chickpea-carrot-salad,Chickpea and carrot salad,keep,
canada-apple-pie-oatmeal,Apple pie oatmeal,keep,
canada-fruit-leathers,Fruit leathers,keep,
canada-colourful-quinoa-salad,Quinoa salad,keep,
canada-trout-roasted-vegetables-low-bush-cranberry-relish,Trout with roasted vegetables and low bush cranberry relish,keep,
canada-cucumber-smash-salad,Cucumber smash salad,keep,
canada-fruit-salad,Fruit salad,keep,
canada-french-toast-sticks-pineapple-orange-topping,French toast sticks with pineapple orange topping,keep,
canada-curried-vegetable-lentil-stew,Curried vegetable lentil stew,keep,
canada-spiced-butternut-squash-soup,Spiced-up butternut squash soup,keep,
canada-cauliflower-bean-dip,Cauliflower and bean dip,keep,
canada-grilled-flank-steak-bbq-veggies,Grilled flank steak with BBQ vegetables,keep,
canada-tofu-banh-mi-rice-bowl,Tofu rice bowl,keep,
canada-cornmeal-porridge-fruit-preserve,Cornmeal porridge with fruit preserve,keep,
canada-no-bake-toasted-oat-granola-bars,No-bake oat granola bars,keep,
canada-eggplant-lentil-curry,Eggplant lentil curry,keep,
canada-multigrain-congee-shiitake-ginger-scallion,"Multigrain congee with shiitake, ginger and scallion",keep,
canada-strawberry-pancakes,Strawberry pancakes,keep,
canada-vietnamese-inspired-beef-noodle-soup,Pho (beef noodle soup),keep,
canada-shepherd-s-pie,Turkey and lentil shepherd’s pie,keep,
canada-oat-pumpkin-no-bake-bites,Oat and pumpkin no-bake bites,keep,
canada-tofu-vegetable-stir-fry,Tofu and vegetable stir fry,keep,
canada-terrific-tuna-tomato-salad,Tuna and tomato salad,keep,
canada-tofu-pasta-primavera,Tofu pasta primavera,keep,
canada-black-bean-corn-salad,Black bean and corn salad,keep,
canada-honey-grilled-salmon-asparagus,Honey grilled salmon and asparagus,keep,
canada-sweet-sour-grapes,Sweet and sour grapes,keep,
canada-pineapple-ginger-chicken,Pineapple ginger chicken,keep,
canada-mapo-tofu-chicken,Mapo tofu with chicken,keep,
canada-miso-ramen-soup-marinated-eggs,Miso ramen soup with marinated eggs,keep,
canada-braised-lentils-greens,Braised lentils with greens,keep,
canada-creamy-clam-chowder,Creamy clam chowder,keep,
canada-flourless-yogurt-blender-muffins,Flourless yogurt blender muffins,keep,
canada-savoury-broccoli-cheese-muffins,Savoury broccoli and cheese muffins,keep,
canada-muhammara-dip-red-bell-pepper-walnut,Muhammara dip (red bell pepper and walnut),keep,
canada-corn-bean-squash-soup-three-sister-s-soup,"Three Sisters soup (corn, bean and squash)",keep,
canada-zaatar-chicken-sheet-pan-dinner,Za’atar chicken sheet pan dinner,keep,
canada-crunchy-turkey-fingers-oven-fries,Crunchy turkey fingers with oven fries,keep,
canada-crispy-chickpeas,Crispy chickpeas,keep,
canada-good-morning-egg-roll,Egg wrap with vegetables,keep,
canada-greek-style-chicken-sandwiches,Chicken and feta sandwiches,keep,
canada-oodles-soba-noodles-tempeh,Soba noodles with tempeh,keep,
canada-coleslaw,Coleslaw,keep,
canada-eat-your-greens-frittata,Spicy vegetable frittata,keep,
canada-quinoa-veggie-casserole,Quinoa and vegetable casserole,keep,
canada-moose-stew,Moose stew,keep,
canada-vegetable-curry,Chickpea and vegetable curry,keep,
canada-corn-lentil-soup,Corn and lentil soup,keep,
canada-mac-cheese-veggie-twist,Macaroni and cheese with vegetables,keep,
canada-slow-cooked-lasagna,Slow-cooked lasagna,keep,
canada-moroccan-stew-harira,Harira (Moroccan stew),keep,
canada-berry-brunch-bake,Berry brunch bake,keep,
canada-chicken-spring-vegetable-soup,Chicken and spring vegetable soup,keep,
canada-beef-fajitas-lime-sour-cream,Beef fajitas with lime sour cream,keep,
canada-chicken-lima-bean-stew,Chicken and lima bean stew,keep,
canada-blueberry-cornmeal-muffins,Blueberry cornmeal muffins,keep,
canada-lentil-nuggets,Lentil nuggets,keep,
canada-tofu-butternut-squash-pasta-shells,Tofu and butternut squash pasta shells,keep,
canada-spaghetti-turkey-meatballs,Spaghetti and turkey meatballs,keep,
canada-open-faced-applewiches,Apple sandwiches,keep,
canada-fried-brown-rice-chicken,Chicken fried rice,keep,
canada-corn-cakes-tomato-jam,Corn cakes with tomato jam,keep,
canada-toasted-barley-wild-rice-salad,Toasted barley and wild rice salad,keep,
canada-shakshouka,Shakshouka (poached eggs recipe),keep,
canada-creamy-smoothie,Creamy smoothie,keep,
canada-red-lentil-mushroom-soup,Red lentil and mushroom soup,keep,
canada-apple-berry-crisp,Apple berry crisp,keep,
canada-curried-chickpea-salad,Curried chickpea salad,keep,
canada-cajun-lentil-soup,Cajun lentil soup,keep,
canada-cheesy-broccoli-toast,Cheesy broccoli toast,keep,
canada-greek-style-couscous-egg-wrap,Couscous and egg wraps,keep,
canada-carrot-ginger-lentil-soup,Carrot ginger lentil soup,keep,
canada-sweet-potato-curry,Sweet potato curry,keep,
canada-chicken-bean-quesadillas,Chicken and bean quesadillas,keep,
canada-tempeh-nuggets,Tempeh nuggets,keep,
canada-marvellous-muffins,Sweet zucchini muffins,keep,
canada-cobb-salad-ranch-dressing,Cobb salad and ranch dressing,keep,
canada-banana-walnut-loaf,Banana walnut loaf,keep,
canada-simple-breakfast-soup,Simple breakfast soup,keep,
canada-tofu-masala-curry,Tofu masala curry,keep,
canada-caprese-muffin-tin-frittatas,Caprese muffin-tin frittatas,keep,
canada-fried-wild-rice,Fried wild rice,keep,
canada-cantaloupe-bocconcini-cheese-salad,Cantaloupe and bocconcini cheese salad,keep,
canada-fresh-avocado-bean-lettuce-wrap,Avocado and bean lettuce wraps,keep,
canada-creamy-dreamy-hummus,Creamy hummus,keep,
canada-lip-smacking-bbq-drumsticks,BBQ chicken drumsticks,keep,
canada-orange-soy-tofu-pockets,Orange tofu pockets,keep,
canada-ginger-scallion-noodles,Ginger scallion noodles,keep,
canada-baked-cheese-stratas,Baked cheese stratas,keep,
canada-fun-flatbread-pizza,Flatbread pizza,keep,
canada-turkey-veggie-stuffed-pita,Turkey and vegetable pita,keep,
canada-chocolate-berry-overnight-oats,Chocolate berry overnight oats,keep,
canada-fruit-yogurt-granola-parfaits,Fruit and yogurt granola parfaits,keep,
canada-easy-peasy-fish-tacos,Whitefish tacos,keep,
canada-puff-bars,Puff bars,keep,
canada-whole-wheat-flour-tortillas,Whole wheat flour tortillas,keep,
canada-spiced-tofu-lentils-turmeric-rice,Spiced tofu and lentils with turmeric rice,keep,
canada-baked-fish-chips,Baked fish and chips,keep,
canada-curried-lentil-spinach-fritters,Curried lentil and spinach fritters,keep,
canada-lunch-box-tuna-salad-wrap,Tuna salad wraps,keep,
canada-lentil-bolognese,Lentil bolognese,keep,
canada-zesty-bean-dip-chips,Zesty bean dip and baked chips,keep,
canada-classic-poached-eggs,Classic poached eggs,keep,
canada-savoury-pear-cheese-scones,Savoury pear and cheese scones,keep,
canada-cornbread,Cornbread,keep,
canada-hot-sweet-curried-squash,Hot and sweet curried squash,keep,
canada-ultimate-mixed-bean-salad,Mixed bean salad,keep,
canada-classic-overnight-oats,Classic overnight oats,keep,
canada-okroshka-cold-summer-soup,Okroshka (cold summer soup),keep,
canada-turkey-stir-fry,Turkey stir-fry,keep,
canada-carrot-potato-pancakes,Carrot potato pancakes,keep,
canada-peach-roasted-chickpeas-halloumi-cheese-salad,"Peach, roasted chickpeas and halloumi cheese salad",keep,
canada-beef-bean-burger,Beef and bean burger,keep,
canada-west-coast-snapper-burritos,Whitefish burritos,keep,
canada-roasted-tomato-pepper-bean-soup,"Roasted tomato, pepper, and bean soup",keep,
canada-mushroom-tagine,Mushroom tagine,keep,
canada-fish-fresh-herb-veggie-packets,Fish and herb vegetable packets,keep,
canada-curry-chicken-lettuce-wraps,Curry chicken lettuce wraps,keep,
canada-hearty-chicken-noodle-soup,Chicken noodle soup,keep,
canada-yogurt-bark-berries,Yogurt bark with berries,keep,
canada-slow-cooker-burrito-bowls,Slow-cooker burrito bowls,keep,
canada-mushroom-soup,Mushroom soup,keep,
canada-mighty-minestrone-soup,Minestrone soup,keep,
canada-couscous-vegetables,Chickpea and vegetable couscous,keep,
canada-tofu-berry-sheet-tart,Tofu and berry sheet tart,keep,
canada-kale-chickpea-curry,Kale and chickpea curry,keep,
canada-mujadarrah-lentils-onions-rice,"Mujadarrah (lentils, onions and rice)",keep,
canada-three-sisters-tacos,Three sisters tacos,keep,
