id,title,verdict,reason,has_photo,step_count,ingredient_count,source_prefix
wb-1-2-3-4-cake,1-2-3-4 Cake,KEEP,cookable,1,11,4,wb
wb-20-ingredient-brownies,20-Ingredient Brownies,FIX,missing photo,0,7,7,wb
wb-20-minute-beef-stroganoff,20-Minute Beef Stroganoff,FIX,missing photo,0,9,12,wb
wb-40-cloves-in-a-roast-chicken,40 Cloves in a Roast Chicken,FIX,missing photo,0,8,7,wb
wb-8-desserts-in-1-pan,8 Desserts in 1 Pan,FIX,missing photo,0,7,9,wb
wb-a-nice-cup-of-tea,A Nice Cup of Tea,DELETE,empty/fragment instructions,1,0,3,wb
wb-aadun-nigerian-corn-flour-with-palm-oil,Aadun (Nigerian Corn Flour with Palm Oil),FIX,missing photo,0,3,4,wb
wb-abacha-mmiri-soaked-cassava-flakes,Abacha Mmiri (Soaked Cassava Flakes),FIX,missing photo,0,6,5,wb
wb-abuk-abuk-sweet-steamed-sago-dumplings,Abuk-abuk (Sweet Steamed Sago Dumplings),FIX,missing photo,0,10,6,wb
wb-abula-nigerian-three-stews,Abula (Nigerian Three Stews),FIX,missing photo,0,5,7,wb
wb-accra-cassava-cameroonian-cassava-fritters,Accra Cassava (Cameroonian Cassava Fritters),FIX,missing photo,0,7,3,wb
wb-acevichada-sauce,Acevichada Sauce,FIX,missing photo,0,4,12,wb
wb-acid-drops,Acid Drops,FIX,50% garbage ingredients,0,6,2,wb
wb-acorn-crusted-salmon,Acorn Crusted Salmon,FIX,missing photo,0,3,3,wb
wb-acorn-squash-with-orange-marmalade,Acorn Squash with Orange Marmalade,FIX,missing photo,0,9,4,wb
wb-adobo-chicken-philippine,Adobo Chicken (Philippine),FIX,50% garbage ingredients,1,7,6,wb
wb-adobo-sauce,Adobo Sauce,FIX,43% garbage ingredients,1,2,7,wb
wb-adoyo-nigerian-ogi-beverage,Adoyo (Nigerian Ogi Beverage),DELETE,empty/fragment instructions,0,0,0,wb
wb-adult-macaroni-and-cheese,Adult Macaroni and Cheese,FIX,63% garbage ingredients,0,4,8,wb
wb-affogato,Affogato,KEEP,cookable,1,1,2,wb
wb-afghan-bread,Afghan Bread,FIX,ingredient parser failure (instructions ok),1,6,0,wb
wb-african-cabbage-stew,African Cabbage Stew,KEEP,cookable,1,6,13,wb
wb-african-salad-ii,African Salad II,FIX,missing photo,0,9,16,wb
wb-agar-jelly,Agar Jelly,FIX,33% garbage ingredients,1,7,3,wb
wb-agbalumo-smoothie,Agbalumo Smoothie,FIX,missing photo,0,5,3,wb
wb-agbugbu-nigerian-pigeon-pea-and-yam-porridge,Agbugbu (Nigerian Pigeon Pea and Yam Porridge),DELETE,empty/fragment instructions,0,0,6,wb
wb-agedashi-tofu,Agedashi Tofu,KEEP,cookable,1,8,3,wb
wb-ager-soup,Ager Soup,FIX,missing photo,0,6,9,wb
