id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
canada-puff-bars,Puff bars,KEEP,ok,1,6,6,
canada-quinoa-veggie-casserole,Quinoa and vegetable casserole,KEEP,ok,1,4,11,
canada-red-lentil-mushroom-soup,Red lentil and mushroom soup,KEEP,ok,1,3,14,
canada-roasted-tomato-pepper-bean-soup,"Roasted tomato, pepper, and bean soup",KEEP,ok,1,6,10,
canada-savoury-broccoli-cheese-muffins,Savoury broccoli and cheese muffins,KEEP,ok,1,4,15,
canada-savoury-pear-cheese-scones,Savoury pear and cheese scones,KEEP,ok,1,4,9,
canada-shakshouka,Shakshouka (poached eggs recipe),KEEP,ok,1,6,10,
canada-shepherd-s-pie,Turkey and lentil shepherd’s pie,KEEP,ok,1,6,9,
canada-simple-breakfast-soup,Simple breakfast soup,KEEP,ok,1,4,10,
canada-sizzlin-sesame-greens,Sesame greens,KEEP,ok,1,4,8,
canada-slow-cooked-lasagna,Slow-cooked lasagna,KEEP,ok,1,4,13,
canada-slow-cooker-burrito-bowls,Slow-cooker burrito bowls,KEEP,ok,1,6,9,
canada-smoked-fish-white-hominy-corn-soup,Smoked fish and white hominy corn soup,KEEP,ok,1,3,8,
canada-spaghetti-turkey-meatballs,Spaghetti and turkey meatballs,KEEP,ok,1,12,12,
canada-spiced-butternut-squash-soup,Spiced-up butternut squash soup,KEEP,ok,1,4,9,
canada-spiced-tofu-lentils-turmeric-rice,Spiced tofu and lentils with turmeric rice,KEEP,ok,1,6,20,
canada-strawberry-pancakes,Strawberry pancakes,KEEP,ok,1,4,10,
canada-sweet-potato-curry,Sweet potato curry,KEEP,ok,1,4,9,
canada-sweet-sour-grapes,Sweet and sour grapes,KEEP,ok,1,5,2,
canada-tempeh-nuggets,Tempeh nuggets,KEEP,ok,1,7,14,
canada-terrific-tuna-tomato-salad,Tuna and tomato salad,KEEP,ok,1,2,10,
canada-three-sisters-tacos,Three sisters tacos,KEEP,ok,1,6,12,
canada-toasted-barley-wild-rice-salad,Toasted barley and wild rice salad,KEEP,ok,1,3,13,
canada-tofu-banh-mi-rice-bowl,Tofu rice bowl,KEEP,ok,1,7,23,
canada-tofu-berry-sheet-tart,Tofu and berry sheet tart,KEEP,ok,1,6,7,
canada-tofu-butternut-squash-pasta-shells,Tofu and butternut squash pasta shells,KEEP,ok,1,9,15,
canada-tofu-masala-curry,Tofu masala curry,KEEP,ok,1,3,14,
canada-tofu-pasta-primavera,Tofu pasta primavera,KEEP,ok,1,6,11,
canada-tofu-vegetable-stir-fry,Tofu and vegetable stir fry,KEEP,ok,1,4,12,
canada-trout-roasted-vegetables-low-bush-cranberry-relish,Trout with roasted vegetables and low bush cranberry relish,KEEP,ok,1,7,16,
canada-turkey-chili,Turkey chili,KEEP,ok,1,3,14,
canada-turkey-stir-fry,Turkey stir-fry,KEEP,ok,1,4,13,
canada-turkey-veggie-stuffed-pita,Turkey and vegetable pita,KEEP,ok,1,2,10,
canada-ultimate-mixed-bean-salad,Mixed bean salad,KEEP,ok,1,3,12,
canada-vegetable-curry,Chickpea and vegetable curry,KEEP,ok,1,7,12,
canada-vietnamese-inspired-beef-noodle-soup,Pho (beef noodle soup),KEEP,ok,1,3,16,
canada-west-coast-snapper-burritos,Whitefish burritos,KEEP,ok,1,5,13,
canada-whole-wheat-flour-tortillas,Whole wheat flour tortillas,KEEP,ok,1,7,6,
canada-yogurt-bark-berries,Yogurt bark with berries,KEEP,ok,1,7,5,
canada-zaatar-chicken-sheet-pan-dinner,Za’atar chicken sheet pan dinner,KEEP,ok,1,5,10,
canada-zesty-bean-dip-chips,Zesty bean dip and baked chips,KEEP,ok,1,4,11,
